이름,레벨,푼 문제 번호,푼 문제의 레벨,unrated,bronze,silver,gold,platinum,diamond,ruby
이지혜,10,"[17479, 12935, 25308, 14629, 9019, 16569, 23891, 13203, 23766, 1769, 28216, 10841, 15971, 3699, 5577, 9499, 3891, 2296, 25399, 3687, 2317, 27920, 17092, 28267, 4913, 18195, 21869, 1914, 27466, 2990, 7620, 2325, 5988, 24530, 10073, 1347, 1325, 18437, 27945, 16905, 24529, 2708, 1672, 23752, 4507, 9657, 1610, 7345, 2785, 12013]","[8, 16, 12, 10, 12, 12, 14, 20, 24, 6, 15, 23, 12, 6, 14, 0, 0, 12, 16, 14, 12, 8, 12, 16, 12, 20, 9, 10, 7, 20, 16, 16, 3, 18, 15, 8, 10, 18, 13, 18, 17, 13, 5, 18, 14, 8, 0, 8, 9, 15]",3.0,2.0,13.0,17.0,13.0,2.0,0.0
김우진,9,"[16992, 25389, 1046, 2821, 10811, 14928, 9627, 24391, 1040, 15675, 1731, 28285, 14929, 14205, 2088, 12927, 29335, 15669, 24030, 11931, 23260, 1664, 13340, 17488, 2730, 2636, 14880, 9246, 23312, 27980, 17133, 28326, 2460, 25964, 20916, 13163, 2187, 22983, 19590, 12858, 2175, 25542, 20418, 14369, 22863, 14723, 1301, 15564, 14552, 2900]","[0, 20, 23, 20, 4, 1, 8, 11, 19, 20, 4, 15, 6, 21, 15, 7, 17, 16, 24, 6, 19, 14, 17, 6, 10, 12, 25, 14, 12, 11, 21, 18, 3, 18, 10, 4, 11, 14, 15, 21, 12, 10, 19, 11, 14, 4, 13, 22, 13, 13]",1.0,6.0,8.0,17.0,11.0,7.0,0.0
김상훈,1,"[10837, 1296, 1053, 2054, 28408, 24521, 25415, 18828, 5655, 15778, 5904, 18381, 12744, 2728, 1632, 12846, 13303, 1927, 1346, 17464, 13339, 3011, 6612, 1953, 24437, 1510, 12926, 15629, 3052, 2040, 15992, 23798, 20187, 6571, 14870, 10428, 15940, 17415, 10802, 26127, 17208, 19950, 1735, 27383, 23280, 1241, 2280, 1334, 11578, 24501]","[8, 5, 15, 15, 15, 21, 21, 0, 0, 17, 11, 21, 13, 16, 19, 16, 18, 9, 17, 19, 18, 14, 14, 12, 17, 16, 19, 5, 4, 11, 10, 21, 13, 8, 22, 16, 22, 18, 20, 16, 12, 11, 8, 22, 13, 11, 0, 11, 11, 12]",3.0,3.0,5.0,17.0,15.0,7.0,0.0
이상현,7,"[25638, 17408, 14709, 14915, 12438, 16921, 14559, 14860, 7618, 3683, 24441, 2963, 28101, 11296, 17107, 12762, 11722, 10327, 18935, 1093, 7562, 25123, 1251, 18292, 1793, 17400, 26146, 16721, 10426, 11585, 6518, 17823, 2577, 1512, 25907, 2345, 11724, 22862, 26150, 6566, 1004, 7490, 17438, 27295, 15940, 10869, 11580, 28296, 21761, 2029]","[16, 18, 6, 4, 11, 17, 20, 17, 22, 19, 16, 13, 17, 4, 0, 12, 9, 18, 11, 18, 10, 16, 6, 17, 9, 16, 16, 10, 5, 16, 7, 28, 4, 11, 11, 0, 9, 11, 6, 10, 8, 11, 24, 6, 22, 1, 5, 18, 16, 7]",2.0,6.0,13.0,8.0,17.0,3.0,1.0
이상철,5,"[18245, 15965, 23808, 1610, 20944, 25213, 13251, 2344, 18802, 16638, 11403, 21313, 16927, 12024, 24263, 4706, 10526, 14461, 19599, 2272, 26248, 27169, 27498, 11531, 1709, 1553, 4010, 14739, 19536, 11657, 25374, 25712, 17425, 19564, 21853, 2711, 3018, 5338, 6091, 16207, 19601, 26146, 5588, 18163, 13435, 25018, 1165, 2821, 9245, 27899]","[4, 9, 3, 0, 3, 21, 8, 12, 23, 15, 10, 4, 11, 14, 2, 3, 20, 14, 8, 20, 30, 18, 13, 4, 9, 11, 23, 15, 20, 12, 6, 12, 12, 5, 23, 4, 8, 1, 15, 13, 12, 16, 12, 29, 18, 27, 23, 20, 22, 0]",2.0,10.0,7.0,15.0,7.0,6.0,3.0
이승민,4,"[1663, 15953, 12979, 9414, 18830, 1653, 28458, 3565, 18346, 27517, 2149, 23323, 1806, 18944, 20189, 14648, 2250, 17415, 24913, 7682, 10924, 20298, 1819, 4348, 18799, 23042, 2704, 2810, 1667, 25713, 1381, 1804, 27072, 2741, 19852, 24511, 27517, 13018, 14848, 17840, 24400, 25379, 19579, 2546, 20926, 2670, 2305, 17180, 2140, 1483]","[15, 3, 11, 7, 20, 16, 16, 18, 25, 14, 8, 9, 12, 19, 19, 4, 14, 18, 9, 11, 21, 23, 15, 19, 21, 15, 4, 5, 17, 16, 0, 18, 22, 1, 22, 8, 14, 12, 13, 15, 11, 7, 21, 5, 14, 7, 15, 14, 12, 0]",2.0,6.0,7.0,17.0,11.0,7.0,0.0
이지민,9,"[17280, 11441, 23559, 8896, 27066, 24909, 26650, 16965, 13908, 26653, 16157, 1308, 16168, 23080, 16282, 4150, 3107, 25689, 2585, 15636, 28684, 24032, 3780, 24513, 15903, 17163, 25914, 7612, 17301, 10768, 19939, 3005, 1623, 14931, 25704, 24053, 13032, 2803, 28690, 28135, 2731, 26648, 16132, 2726, 28709, 15718, 1095, 15507, 2002, 6531]","[15, 8, 11, 7, 11, 0, 10, 11, 9, 15, 17, 6, 12, 3, 12, 5, 11, 12, 14, 0, 19, 23, 16, 13, 10, 17, 19, 0, 15, 2, 7, 9, 15, 10, 2, 11, 11, 21, 0, 3, 16, 10, 12, 16, 15, 18, 16, 23, 10, 16]",4.0,5.0,11.0,17.0,10.0,3.0,0.0
이경희,9,"[9484, 4698, 16076, 25178, 14731, 15632, 16882, 2375, 24529, 11006, 11024, 2646, 23051, 1338, 3064, 10066, 14227, 15685, 1528, 3593, 12769, 14936, 27934, 2498, 10721, 5545, 15967, 27939, 23976, 25513, 15946, 15813, 26522, 26216, 10937, 1784, 17255, 1855, 9522, 14901, 25336, 27899, 1205, 15782, 24426, 15898, 7579, 27085, 9521, 1997]","[23, 0, 0, 6, 10, 0, 15, 14, 17, 3, 3, 20, 25, 12, 12, 23, 16, 12, 12, 19, 20, 7, 19, 18, 23, 8, 17, 5, 13, 11, 24, 4, 24, 13, 18, 14, 12, 5, 22, 24, 19, 0, 7, 19, 12, 15, 13, 14, 18, 11]",4.0,5.0,5.0,16.0,12.0,8.0,0.0
류현주,1,"[15876, 16504, 1231, 26144, 25050, 2090, 3012, 21561, 10735, 1179, 20564, 2154, 2303, 9614, 27875, 23752, 18183, 25793, 2748, 24482, 1559, 3666, 11690, 18114, 20054, 25324, 2345, 13168, 17179, 22875, 19954, 24336, 15649, 23971, 25044, 12873, 16211, 16954, 25176, 3652, 17138, 6884, 2346, 19088, 2451, 28018, 25335, 24723, 24463, 3780]","[6, 3, 15, 27, 16, 7, 19, 0, 26, 19, 22, 4, 6, 16, 23, 18, 24, 10, 5, 9, 16, 21, 13, 11, 16, 22, 0, 13, 11, 20, 16, 10, 8, 3, 7, 7, 14, 13, 5, 11, 19, 9, 8, 19, 17, 11, 6, 2, 12, 16]",2.0,6.0,12.0,10.0,13.0,5.0,2.0
강민서,2,"[9545, 2549, 11940, 10157, 25354, 2988, 3998, 9092, 24939, 10171, 22950, 10941, 1170, 4886, 25406, 11652, 1037, 11942, 1162, 22360, 16717, 27648, 7576, 17141, 4503, 4577, 9546, 3098, 1834, 2808, 17263, 15712, 1620, 29008, 27980, 11880, 17142, 16938, 26035, 2157, 13426, 2222, 25964, 14240, 26654, 2705, 13241, 1819, 8895, 9023]","[16, 19, 20, 7, 30, 19, 24, 0, 8, 1, 5, 0, 18, 0, 17, 7, 5, 1, 15, 21, 20, 6, 11, 12, 18, 13, 4, 9, 5, 18, 3, 14, 7, 18, 11, 4, 13, 11, 13, 12, 20, 16, 18, 21, 15, 10, 6, 15, 15, 14]",3.0,8.0,8.0,14.0,13.0,3.0,1.0
김진호,8,"[18132, 19301, 2953, 15927, 2612, 2507, 12967, 2263, 14675, 1255, 17486, 22873, 1039, 28693, 21919, 2022, 10828, 17480, 1415, 26040, 1665, 13926, 20119, 20498, 12745, 28258, 11444, 25978, 1294, 14225, 12870, 23035, 25601, 15925, 9663, 2652, 10076, 13909, 1168, 21937, 15652, 2699, 12739, 26616, 2570, 2830, 28112, 18808, 14280, 18125]","[13, 26, 3, 11, 17, 18, 16, 15, 10, 17, 27, 19, 14, 16, 8, 12, 7, 13, 15, 3, 20, 21, 15, 19, 17, 14, 14, 12, 18, 10, 21, 16, 10, 10, 12, 15, 23, 6, 18, 10, 8, 16, 8, 21, 19, 13, 18, 13, 16, 5]",0.0,3.0,10.0,15.0,16.0,4.0,2.0
박정남,10,"[23089, 17348, 11654, 16888, 2414, 21564, 17224, 2138, 23969, 6376, 25398, 16675, 2402, 11946, 1283, 12903, 17435, 3499, 9553, 17668, 20547, 13001, 13030, 25548, 1632, 1679, 21563, 4564, 17614, 1317, 2330, 17274, 1567, 2781, 16879, 2641, 2778, 1371, 25760, 25024, 17626, 22949, 14255, 2635, 17452, 5032, 28020, 18381, 19636, 14235]","[17, 24, 1, 11, 18, 23, 5, 11, 5, 4, 29, 4, 14, 7, 9, 13, 15, 15, 11, 21, 17, 0, 19, 18, 19, 10, 15, 4, 3, 0, 18, 22, 0, 0, 20, 9, 13, 4, 14, 3, 8, 16, 18, 6, 12, 4, 17, 21, 7, 8]",4.0,10.0,8.0,11.0,11.0,5.0,1.0
안정웅,7,"[10837, 9742, 12883, 27319, 7787, 1330, 20423, 18769, 16402, 18945, 21606, 15887, 24890, 18857, 1929, 10419, 15933, 24042, 10910, 4800, 14219, 18197, 25761, 1925, 1594, 18445, 25211, 5051, 11662, 2051, 25021, 15966, 10471, 1102, 15788, 23042, 7513, 2525, 2463, 2515, 13509, 18197, 28039, 16934, 1082, 27315, 9658, 1641, 13275, 10813]","[8, 8, 0, 17, 17, 1, 13, 12, 14, 28, 13, 6, 21, 21, 8, 3, 17, 15, 26, 17, 4, 21, 18, 7, 14, 25, 18, 21, 12, 19, 23, 10, 4, 16, 7, 15, 5, 3, 16, 14, 20, 21, 19, 13, 13, 14, 9, 0, 16, 4]",2.0,7.0,8.0,12.0,12.0,7.0,2.0
김미정,9,"[10655, 2684, 14929, 24508, 25215, 17499, 18804, 10835, 13539, 23088, 6588, 10844, 2306, 25756, 12889, 26276, 23845, 14273, 15658, 20130, 3001, 15493, 3948, 18869, 15554, 18195, 9250, 3165, 25431, 9623, 1891, 2357, 27742, 1529, 3882, 24459, 15891, 5186, 13709, 11658, 28285, 16564, 22236, 13758, 7888, 18016, 10911, 2160, 16394, 18162]","[8, 5, 6, 11, 10, 8, 27, 11, 25, 14, 10, 10, 13, 3, 14, 20, 13, 0, 9, 15, 17, 22, 16, 11, 16, 20, 19, 13, 20, 17, 12, 15, 12, 16, 18, 15, 0, 10, 18, 17, 15, 10, 12, 22, 22, 0, 22, 5, 1, 20]",3.0,4.0,9.0,15.0,13.0,5.0,1.0
김정희,3,"[25490, 22996, 2600, 1572, 1195, 1012, 2875, 14555, 10790, 1262, 24499, 25199, 26081, 19574, 17433, 16215, 10909, 1012, 28705, 17142, 23326, 15787, 6525, 2054, 16468, 1454, 20499, 15666, 20153, 1408, 3726, 18836, 26257, 22965, 25429, 16463, 17425, 23279, 10707, 14601, 18158, 20654, 4583, 6219, 17098, 26098, 2244, 2224, 20546, 2661]","[20, 14, 12, 16, 11, 9, 3, 22, 26, 10, 7, 17, 17, 20, 11, 22, 19, 9, 18, 13, 13, 9, 13, 15, 17, 0, 2, 9, 9, 4, 0, 0, 7, 12, 15, 8, 12, 9, 3, 16, 4, 22, 4, 8, 22, 22, 17, 12, 6, 12]",3.0,6.0,12.0,13.0,10.0,5.0,1.0
정정웅,8,"[25419, 10982, 13203, 2352, 21557, 15740, 1149, 5735, 12985, 1908, 12855, 16480, 28433, 26653, 5904, 10848, 13309, 22253, 20208, 7890, 20369, 16173, 1372, 22027, 17079, 18233, 3981, 17222, 12026, 2337, 10822, 19955, 22963, 1081, 10561, 16937, 12020, 14743, 14573, 17285, 25205, 11451, 23285, 19844, 17452, 18168, 4882, 12746, 5548, 2644]","[11, 16, 20, 14, 7, 1, 10, 19, 16, 16, 19, 0, 17, 15, 11, 23, 20, 15, 11, 25, 20, 7, 19, 29, 20, 11, 13, 17, 10, 19, 4, 21, 14, 15, 17, 8, 16, 14, 15, 4, 4, 13, 14, 7, 12, 25, 13, 19, 19, 9]",1.0,4.0,7.0,16.0,17.0,4.0,1.0
박종수,7,"[3661, 16711, 8906, 23282, 11918, 14234, 2379, 1782, 10219, 2779, 28424, 20931, 27982, 18858, 28080, 12837, 1592, 15803, 11414, 10902, 3217, 16717, 28256, 4335, 3117, 5052, 9932, 21738, 2832, 26520, 3345, 6884, 25800, 18858, 12843, 2341, 10330, 8906, 3692, 2511, 15486, 24028, 4493, 23974, 13723, 24039, 2535, 1738, 27954, 13710]","[13, 19, 0, 19, 12, 0, 17, 16, 5, 14, 13, 17, 4, 13, 15, 15, 4, 6, 15, 3, 15, 20, 9, 6, 15, 12, 0, 11, 17, 20, 18, 9, 19, 13, 18, 12, 12, 0, 21, 4, 11, 23, 3, 13, 14, 6, 6, 15, 17, 15]",4.0,6.0,6.0,20.0,12.0,2.0,0.0
홍중수,9,"[13137, 27960, 20151, 14878, 13716, 14862, 28105, 23062, 2109, 5735, 2263, 1493, 19544, 16725, 12929, 14389, 24546, 11052, 16399, 2193, 1447, 9470, 2607, 17279, 10835, 12427, 4315, 13267, 2625, 2622, 5913, 13223, 17624, 1014, 27212, 12968, 12794, 27434, 17378, 9006, 27072, 27165, 20192, 2723, 28439, 17626, 1845, 24537, 15709, 1635]","[18, 3, 21, 22, 21, 21, 21, 17, 13, 19, 15, 13, 16, 16, 14, 19, 22, 10, 16, 8, 0, 13, 8, 15, 11, 19, 16, 21, 19, 6, 12, 3, 22, 17, 13, 9, 22, 1, 23, 17, 22, 8, 19, 13, 16, 8, 30, 14, 16, 16]",1.0,3.0,7.0,11.0,16.0,11.0,1.0
양순자,10,"[3095, 15775, 23738, 24539, 29335, 14268, 27890, 11395, 2533, 5905, 1400, 2624, 24398, 1130, 17842, 13167, 5014, 16857, 25905, 16133, 1917, 12849, 5647, 25431, 3154, 1967, 9472, 12898, 2682, 25429, 11439, 6181, 6116, 2550, 28398, 16678, 13546, 2150, 27114, 23754, 10945, 26261, 7146, 28409, 13170, 21277, 24262, 24464, 3065, 17266]","[12, 18, 4, 17, 17, 18, 2, 24, 13, 20, 14, 11, 6, 21, 15, 20, 10, 24, 4, 20, 15, 10, 21, 20, 5, 12, 14, 23, 14, 15, 17, 21, 20, 13, 20, 11, 22, 16, 12, 17, 0, 17, 12, 16, 7, 13, 1, 10, 0, 7]",2.0,5.0,6.0,15.0,15.0,7.0,0.0
김은정,9,"[1530, 1400, 14179, 3648, 1271, 10789, 28460, 12961, 2328, 2035, 26610, 3964, 3691, 24682, 16882, 13300, 1949, 7516, 14628, 21869, 10569, 2810, 19530, 2999, 14901, 10773, 1912, 20929, 23842, 3657, 25335, 29633, 14403, 3113, 7984, 4158, 1550, 3023, 27233, 15924, 9610, 15953, 1862, 1306, 15873, 2365, 18792, 19619, 12024, 12430]","[19, 14, 21, 18, 1, 17, 17, 21, 16, 13, 21, 14, 13, 20, 15, 4, 14, 15, 13, 9, 3, 5, 22, 5, 24, 7, 9, 15, 7, 14, 6, 17, 0, 16, 21, 6, 4, 5, 20, 11, 3, 3, 7, 16, 2, 18, 26, 22, 14, 17]",1.0,10.0,7.0,12.0,12.0,7.0,1.0
김영수,2,"[1196, 9251, 14902, 26527, 15786, 1985, 4703, 3187, 22946, 2349, 2926, 17635, 12801, 3662, 7157, 10720, 1489, 9011, 14670, 28251, 9763, 5528, 11393, 20158, 26460, 5043, 16923, 11001, 9610, 10734, 12949, 14451, 2395, 14275, 10727, 20130, 26164, 12865, 1627, 20540, 1074, 19954, 2143, 3042, 27458, 3689, 13443, 17102, 4211, 2700]","[22, 11, 0, 19, 5, 7, 17, 10, 14, 0, 0, 24, 24, 19, 0, 21, 15, 11, 7, 13, 11, 16, 0, 15, 28, 5, 9, 20, 3, 25, 0, 16, 15, 20, 25, 15, 30, 11, 20, 3, 10, 16, 13, 9, 15, 13, 22, 22, 24, 15]",6.0,4.0,6.0,14.0,9.0,9.0,2.0
안진우,3,"[3144, 2175, 13121, 24918, 9325, 27648, 4800, 6615, 9526, 18375, 2392, 10737, 1579, 11443, 2079, 1875, 22978, 1587, 5063, 10068, 1035, 13255, 1189, 20119, 25561, 2873, 2963, 2008, 12974, 2096, 14931, 26091, 17303, 2214, 14893, 27653, 18237, 17181, 10710, 17427, 1142, 2704, 1056, 10475, 13159, 20542, 27295, 4889, 2513, 12515]","[15, 12, 22, 26, 3, 6, 17, 9, 22, 22, 18, 20, 0, 14, 15, 14, 19, 15, 3, 23, 15, 13, 10, 15, 16, 18, 13, 16, 19, 11, 10, 10, 20, 12, 0, 15, 30, 13, 11, 9, 17, 4, 19, 18, 24, 13, 6, 10, 13, 18]",2.0,3.0,8.0,17.0,13.0,5.0,2.0
이유진,10,"[14845, 11569, 19238, 6590, 7812, 26276, 25713, 28254, 3008, 17388, 10804, 15775, 28110, 16428, 16506, 16561, 15564, 9469, 20127, 18822, 25758, 11376, 16490, 14241, 25796, 2569, 1378, 19600, 10564, 15925, 16500, 10538, 1551, 1709, 24536, 3213, 24554, 10821, 17216, 13267, 15917, 16142, 3780, 12855, 9026, 3344, 5561, 22294, 28305, 1782]","[21, 17, 14, 13, 16, 20, 16, 19, 17, 2, 4, 18, 7, 3, 6, 4, 22, 3, 11, 0, 10, 17, 0, 8, 15, 20, 0, 12, 14, 10, 11, 20, 5, 9, 16, 7, 24, 4, 10, 21, 3, 20, 16, 19, 0, 19, 16, 12, 14, 16]",4.0,8.0,8.0,9.0,17.0,4.0,0.0
구성훈,1,"[11280, 1581, 28706, 2433, 17456, 17618, 18808, 12752, 17616, 2152, 28098, 25578, 9334, 23345, 1739, 7783, 20363, 2858, 15911, 1800, 15782, 2283, 19593, 2197, 23351, 1275, 5555, 14258, 17093, 5216, 27904, 19531, 17521, 3853, 2569, 19569, 26601, 2403, 13314, 28239, 18134, 21863, 21867, 1282, 20153, 3095, 12958, 19562, 2316, 27964]","[17, 12, 11, 15, 19, 3, 13, 22, 13, 18, 17, 15, 17, 15, 21, 19, 7, 4, 17, 15, 19, 14, 12, 19, 8, 15, 6, 16, 5, 0, 26, 23, 7, 0, 20, 18, 16, 13, 13, 5, 20, 19, 4, 20, 9, 12, 0, 25, 18, 6]",3.0,5.0,6.0,14.0,17.0,4.0,1.0
박명자,1,"[25553, 17103, 21869, 21317, 15735, 1338, 13002, 1081, 18253, 18406, 14226, 10822, 10714, 9326, 26123, 10265, 26260, 2278, 2683, 18859, 13134, 11441, 1519, 27990, 20564, 20951, 17829, 1725, 5347, 12956, 2120, 16160, 2760, 1974, 2611, 7982, 16441, 25504, 9460, 3245, 2179, 10885, 3050, 1146, 2897, 13307, 1228, 9617, 12778, 27375]","[15, 9, 9, 10, 8, 12, 13, 15, 23, 4, 12, 4, 14, 13, 7, 17, 11, 15, 0, 17, 18, 8, 13, 17, 22, 11, 9, 16, 6, 13, 0, 21, 0, 16, 14, 15, 13, 21, 15, 0, 12, 16, 14, 17, 5, 24, 17, 0, 4, 10]",5.0,4.0,9.0,18.0,9.0,5.0,0.0
